mos,std
5.51429,0.13013
5.56757,0.16008
4.94444,0.15186
4.37838,0.11046
3.86486,0.10229
6.02857,0.16896
6.10811,0.17001
5.38889,0.16795
4.71429,0.10358
4.36111,0.13695
4.77143,0.12832
4.27027,0.13594
3.7027,0.10719
3.19444,0.09477
2.71429,0.09537
5.97143,0.13694
5.75676,0.15946
5.27027,0.17368
5.24324,0.16398
4.71429,0.13138
5.91892,0.15934
5.7027,0.17036
5.08333,0.13249
4.13889,0.09744
3.13889,0.09744
4.0,0.11467
3.89189,0.16566
3.72973,0.10571
3.48571,0.08448
2.94444,0.11072
5.08333,0.15404
4.75,0.13249
4.0,0.11111
3.22222,0.11188
2.19444,0.11666
5.18919,0.13151
4.47222,0.13314
3.48649,0.11856
3.0,0.09035
2.11111,0.10956
6.08333,0.18162
5.16667,0.15466
4.42857,0.12313
2.81081,0.10701
1.54054,0.11205
5.97297,0.15519
5.94595,0.16192
4.91667,0.15404
3.21622,0.10902
2.08108,0.15934
5.91429,0.16349
5.67568,0.14329
4.69444,0.12922
3.67568,0.10847
1.45946,0.11839
5.94595,0.15734
5.86486,0.16732
4.21622,0.13315
3.83333,0.13889
3.43243,0.11806
5.45946,0.13565
3.91429,0.09365
3.27778,0.09305
3.16667,0.11453
3.10811,0.09955
5.69444,0.12922
6.05405,0.14777
5.75676,0.12908
5.55556,0.1329
4.47059,0.1264
2.83333,0.12729
2.82857,0.12445
3.10811,0.15659
3.58333,0.13249
3.89189,0.15185
5.80556,0.14604
6.05405,0.21263
4.88889,0.12897
5.02778,0.14952
4.19444,0.11666
5.35135,0.16755
6.62162,0.22402
4.08108,0.11705
6.24324,0.25182
2.97143,0.11055
4.62162,0.14976
4.22222,0.15271
3.77143,0.12832
3.47222,0.13881
3.41667,0.14367
5.94444,0.17098
5.47222,0.10748
5.08108,0.14493
4.52778,0.12721
3.94444,0.11072
5.85714,0.14648
5.83333,0.13889
6.02778,0.12099
5.08333,0.09919
4.33333,0.12423
5.7027,0.16601
5.27778,0.10101
4.67568,0.12119
4.05714,0.13964
3.05405,0.11432
5.55556,0.1329
5.18919,0.14218
4.30556,0.10985
3.16216,0.10477
2.19444,0.10259
6.28571,0.13138
5.61111,0.14314
5.77778,0.13095
4.80556,0.1231
2.40541,0.12361
5.7027,0.16601
5.58333,0.15404
5.10811,0.14696
3.08108,0.10382
0.45946,0.11839
5.74286,0.12995
5.34286,0.13366
5.22222,0.11858
4.19444,0.09477
3.97297,0.11135
6.05556,0.16641
6.05405,0.15263
5.88889,0.12897
5.2973,0.10719
4.38889,0.11966
4.8,0.11285
4.43243,0.13535
3.83784,0.09755
3.52778,0.0832
2.91892,0.09653
6.28571,0.15424
6.16216,0.13521
5.19444,0.14065
4.74286,0.11671
4.28571,0.12501
6.11765,0.14861
6.11111,0.12284
5.43243,0.11806
4.37838,0.12297
3.41667,0.08217
4.55556,0.12696
4.27778,0.10838
3.72973,0.11241
3.48571,0.08448
3.10811,0.0836
5.91429,0.11691
5.58333,0.13249
3.76471,0.10238
3.75676,0.10401
2.85714,0.10799
6.10811,0.1419
5.16667,0.11453
4.54286,0.0842
3.83784,0.10477
3.02703,0.09735
6.0,0.15649
5.51429,0.14212
4.52778,0.12721
3.64865,0.10956
2.41667,0.08217
6.0,0.18331
5.97222,0.13314
5.43243,0.14065
3.5,0.11453
2.71429,0.08639
5.91667,0.16375
4.80556,0.10259
2.97297,0.09735
1.91892,0.08864
1.27778,0.10838
5.30556,0.13506
4.43243,0.12985
3.08108,0.09653
2.67568,0.11501
2.37143,0.09112
4.47222,0.0832
4.0,0.10393
3.38889,0.09843
2.89189,0.09192
3.61111,0.08125
5.75,0.15897
6.08108,0.14989
5.11429,0.13863
5.31429,0.12631
4.21622,0.15822
3.4,0.09214
3.62162,0.11688
3.83333,0.10758
3.83784,0.10477
4.2,0.10537
5.94595,0.16637
6.08333,0.14367
5.32432,0.20602
5.13889,0.1627
4.56757,0.14065
5.91667,0.12028
5.68571,0.17506
4.83784,0.12969
4.77143,0.16206
3.91667,0.10668
5.97222,0.14426
5.59459,0.18114
4.82857,0.15901
4.91892,0.14989
4.54286,0.11671
5.77778,0.13095
5.43243,0.1117
4.83333,0.15466
4.22222,0.09711
3.75676,0.08886
6.05405,0.15734
6.17143,0.16406
5.30556,0.13506
4.0,0.09035
2.80556,0.10259
5.97297,0.173
5.2973,0.12599
4.6,0.12256
3.27778,0.07465
2.36111,0.08005
5.51351,0.15107
5.24324,0.15002
4.48571,0.08448
3.80556,0.09477
2.22222,0.08881
6.77778,0.15768
5.54054,0.11839
3.44444,0.09973
2.16216,0.08975
0.81081,0.11988
6.08108,0.18081
4.91667,0.11369
3.0,0.09623
2.11111,0.10227
0.89189,0.12552
5.76923,0.09905
5.10526,0.08145
4.68421,0.10595
4.25,0.09843
3.925,0.10833
6.18421,0.12814
6.28205,0.09559
5.25,0.10458
5.0,0.1
4.6,0.12145
4.65,0.11484
4.07692,0.105
3.85,0.10338
3.28205,0.07206
2.89474,0.09697
6.38462,0.14329
5.65789,0.10707
5.225,0.12984
4.6,0.11068
3.575,0.09929
6.5,0.15
5.63158,0.12577
5.3,0.10124
4.30769,0.09699
3.47368,0.081
4.81579,0.11683
4.53846,0.12997
4.1,0.10488
3.75,0.09843
3.5,0.11726
4.97436,0.11169
4.1,0.10488
3.84615,0.09272
3.825,0.09279
3.61538,0.0779
6.34211,0.1193
5.6,0.11068
4.47368,0.081
3.75,0.12119
2.95,0.09321
6.65,0.13486
6.25641,0.12932
5.475,0.13687
3.74359,0.11304
2.47368,0.081
6.23684,0.15087
5.66667,0.13241
5.05128,0.11999
3.3,0.09487
2.48718,0.08004
5.36842,0.11423
4.07692,0.105
2.84615,0.08534
1.82051,0.06145
0.7,0.09487
5.41026,0.14827
4.07895,0.10774
2.84211,0.10867
3.1,0.08515
2.4,0.07746
5.12821,0.10987
3.64103,0.07681
3.925,0.0961
2.925,0.07406
2.42105,0.08009
5.07692,0.12761
6.0,0.17678
4.85,0.15227
4.46154,0.13972
3.5,0.11726
3.725,0.12241
4.05,0.15391
4.025,0.14356
4.28205,0.15363
4.79487,0.14586
6.82051,0.12494
6.525,0.18023
5.975,0.15607
6.075,0.15161
5.02564,0.15164
6.28205,0.13543
6.75,0.16489
5.2,0.12349
6.575,0.19965
3.79487,0.13164
5.76923,0.1379
5.71795,0.12535
5.5641,0.12971
5.0,0.14044
4.65789,0.1304
5.51282,0.10174
5.02564,0.11743
4.7,0.10724
4.30769,0.10971
3.69231,0.09699
5.84211,0.12075
5.46154,0.11942
4.15789,0.09507
3.17949,0.09506
2.825,0.1054
5.23684,0.0944
4.4359,0.10754
3.89744,0.10754
3.17949,0.08004
2.1,0.07746
5.97436,0.10564
5.35897,0.12814
5.23077,0.10548
4.35897,0.09236
3.92105,0.10774
6.71795,0.16196
5.84615,0.12318
3.9,0.0922
2.65789,0.07696
1.975,0.08282
5.74359,0.10074
4.20513,0.12124
2.825,0.11117
1.81579,0.082
0.42105,0.08009
5.7619,0.12051
5.47619,0.10774
4.92857,0.09155
4.26829,0.09142
4.0,0.08909
6.275,0.11719
6.15385,0.09956
5.68293,0.1002
5.30952,0.11899
4.53659,0.07788
4.78049,0.08802
4.21429,0.08608
3.9,0.08515
3.425,0.07816
3.02381,0.07133
6.125,0.10117
6.26829,0.1337
6.15,0.10926
5.47619,0.10774
4.80952,0.11288
6.30952,0.12366
5.90244,0.11338
5.325,0.07406
4.47619,0.07706
3.70732,0.09284
5.02381,0.08577
4.56098,0.12929
4.2619,0.1068
4.19512,0.12541
3.45,0.07866
4.69048,0.09214
4.075,0.10833
3.52381,0.10234
3.14286,0.09265
2.95238,0.08878
6.30952,0.14478
5.92683,0.11118
5.38095,0.12118
4.375,0.07655
3.66667,0.11984
6.38095,0.12118
5.80488,0.10473
5.04878,0.1032
3.78049,0.07327
2.5,0.07906
6.07143,0.15206
5.97561,0.13575
5.07143,0.09155
3.2619,0.08947
2.19048,0.09664
5.3,0.12349
4.0,0.10648
2.90244,0.08998
2.0,0.0
0.88095,0.09644
6.05,0.10577
4.64286,0.10001
3.92857,0.10855
2.90476,0.08116
2.65854,0.07406
4.66667,0.09913
3.84615,0.05777
3.35714,0.10001
3.46341,0.07788
2.38095,0.09495
5.07143,0.12774
6.40476,0.17516
6.0,0.10648
4.40476,0.11693
3.60976,0.10841
3.38095,0.11641
3.40476,0.11693
3.5,0.14385
3.7561,0.08982
4.05128,0.08844
6.28571,0.12727
6.64286,0.18694
6.09524,0.17757
5.66667,0.15526
5.15385,0.14294
6.0,0.14677
6.66667,0.15673
4.78049,0.11703
7.21429,0.21701
3.925,0.08936
5.41463,0.12895
5.02439,0.09439
4.66667,0.11501
4.2381,0.12958
3.92683,0.11641
5.45238,0.13129
5.35714,0.11577
4.90244,0.10801
4.425,0.07816
4.16667,0.10603
6.45238,0.13554
5.225,0.09005
4.19048,0.09059
3.11905,0.08386
2.41463,0.0911
5.14634,0.09485
4.73171,0.07732
3.80952,0.0841
3.21951,0.06464
2.0,0.0
6.02439,0.10625
5.78571,0.15259
4.42857,0.10724
4.12195,0.09252
2.90476,0.11071
6.425,0.13175
5.40476,0.11693
3.87805,0.11014
2.95122,0.09726
1.47619,0.10234
5.54762,0.10755
3.7619,0.09994
2.58537,0.07694
1.90476,0.07384
0.58537,0.09741
5.525,0.13223
5.5,0.13229
4.84615,0.09956
4.05128,0.08844
3.56098,0.1246
5.82927,0.14997
5.68293,0.16339
5.325,0.15964
5.09756,0.14555
4.25641,0.09399
5.09756,0.12816
4.4878,0.1385
3.675,0.10833
3.07317,0.08719
2.375,0.11558
5.63415,0.16812
5.75,0.16105
5.575,0.14529
4.92683,0.16682
4.4,0.11619
5.625,0.14003
5.39024,0.18536
4.7,0.11292
3.81579,0.09005
2.92308,0.07593
4.375,0.15284
3.92308,0.14223
3.5,0.12748
3.31707,0.11666
2.51282,0.11393
5.275,0.15806
5.26829,0.13808
4.53846,0.13493
4.05128,0.11999
3.14634,0.13162
5.4,0.14053
4.66667,0.10468
3.65854,0.12725
2.78049,0.10064
1.25,0.14031
5.825,0.14953
5.825,0.1219
5.325,0.14743
3.5,0.13229
1.36585,0.14119
5.73171,0.16907
5.15385,0.09272
4.70732,0.16268
3.43902,0.11465
1.87805,0.15501
5.7561,0.14545
5.4,0.17607
4.5,0.14142
3.66667,0.11657
2.25,0.12119
5.68293,0.16699
5.775,0.16003
5.35,0.13942
3.8,0.14663
2.725,0.13687
5.46341,0.11997
4.90244,0.14958
3.475,0.09992
2.97561,0.10625
1.97368,0.10842
5.92683,0.14792
5.53659,0.15843
5.60976,0.16134
5.225,0.19522
4.31707,0.15971
3.05,0.16183
3.1,0.14491
3.31707,0.16339
3.9,0.17248
3.84615,0.15186
6.15,0.16413
5.95,0.14979
5.58537,0.18244
5.09756,0.20349
4.25,0.17589
5.3,0.1589
6.82927,0.20668
4.025,0.13914
6.56098,0.2391
2.8,0.14663
4.775,0.15202
4.20513,0.13164
3.74359,0.15264
3.53846,0.13972
3.15,0.22514
5.175,0.16158
4.80488,0.17662
4.225,0.1145
3.65,0.11484
3.36585,0.11827
5.68293,0.18395
5.56098,0.17939
5.02439,0.15613
4.475,0.12241
3.28205,0.09559
5.6,0.11619
4.925,0.11931
4.36585,0.11312
3.35,0.10338
2.475,0.09992
5.275,0.15806
5.25,0.14895
4.7561,0.13261
4.1,0.11619
3.17073,0.1239
5.73171,0.16188
5.575,0.12692
5.63415,0.16089
5.7561,0.16098
5.43902,0.17605
5.525,0.14572
5.60976,0.17547
5.2,0.16279
3.95122,0.13776
2.60976,0.12378
5.75676,0.17684
5.16667,0.15957
5.02703,0.14548
4.31429,0.11967
3.61111,0.11966
6.16216,0.2041
5.78378,0.17572
5.45946,0.16033
4.83333,0.11453
4.38889,0.13765
4.58333,0.12653
4.05714,0.10647
3.47222,0.12099
2.94595,0.10073
2.5,0.08333
5.83333,0.17786
5.86111,0.17635
5.69444,0.17489
5.08108,0.18081
4.58333,0.15897
5.91892,0.15469
5.71429,0.12501
4.97297,0.15519
4.02857,0.09464
2.94595,0.11432
4.61111,0.15849
4.38889,0.16329
3.77778,0.13095
3.52778,0.12099
3.05405,0.0932
5.32432,0.17538
5.11429,0.11264
4.40541,0.14534
3.14286,0.10799
2.68571,0.11967
5.18919,0.13151
4.58333,0.12653
3.48571,0.08448
2.7027,0.09256
2.05405,0.085
6.05405,0.1707
5.86486,0.16732
4.86486,0.1333
3.0,0.10393
1.65714,0.08983
5.83784,0.15532
5.62857,0.12179
5.42857,0.13574
3.16216,0.13521
1.77778,0.09711
5.54054,0.13015
5.19444,0.15123
4.5,0.12108
3.08108,0.11064
0.75676,0.11081
5.86111,0.16737
4.75,0.15404
4.35135,0.14411
3.62857,0.12832
3.83784,0.15532
4.67568,0.1483
4.82857,0.12445
4.17143,0.09464
3.19444,0.12922
2.7027,0.10014
6.0,0.14569
6.0,0.16216
4.77143,0.16206
4.33333,0.16197
4.30556,0.15123
3.62162,0.19621
3.32432,0.16684
3.75,0.18582
4.40541,0.17706
4.83333,0.18634
5.56757,0.18545
6.25,0.15404
5.08333,0.14894
